text,category,problemType,urgency,sentiment
Calling regarding Contaminated yellow muddy water coming out of taps in Shastri Nagar. Kindly look into this immediately.,Water Board,Water Quality,High,Negative
Attention ward officer: Volt-ampere drop is causing refrigerator to trip continuously. Please resolve ASAP.,Electricity Board,Voltage Fluctuation,Medium,Neutral
Urgent complaint: Frequent voltage fluctuations damaging home electronics in Ward 9. Over 100 families affected in our locality.,Electricity Board,Voltage Fluctuation,High,Negative
"Kindly note Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. We need urgent intervention.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Attention ward officer: Primary Health Centre doctor absent during official duty hours. Kindly look into this immediately.,Healthcare,Doctor Absence,High,Frustrated
Issue reported: Water tanker driver is asking for extra money illegally in Ward 5. We need urgent intervention.,Water Board,Billing Issue,High,Frustrated
Help needed: Ambulance 108 helpline not answering call during medical emergency. Kindly look into this immediately.,Healthcare,Hospital Supplies,Emergency,Frustrated
"Sir/Madam, Food poisoning outbreak reported from unhygienic street vendor stall. Over 100 families affected in our locality.",Healthcare,Food Safety,Emergency,Frustrated
Grievance report: Auto rickshaw drivers refusing by-meter fare and demanding double charges. We need urgent intervention.,Transport,Transit Grievance,Low,Negative
Urgent complaint: Drainage line choked and blocked with plastic waste causing backflow. Please resolve ASAP.,Sanitation,Sewage Overflow,High,Frustrated
Citizen alert: Property tax portal showing wrong calculation and pending dues. Over 100 families affected in our locality.,Municipal Corporation,Property Tax,Low,Negative
Issue reported: Public toilet in market complex completely uncleaned and unusable. Please resolve ASAP.,Sanitation,Sanitation,Medium,Negative
Kindly note Contaminated yellow muddy water coming out of taps in Shastri Nagar. Please resolve ASAP.,Water Board,Water Quality,High,Negative
"Grievance report: Incorrect electricity bill generated, showing 10x normal consumption. We need urgent intervention.",Electricity Board,Meter Defect,Medium,Negative
Filing grievance for Food poisoning outbreak reported from unhygienic street vendor stall. Expecting quick response from authorities.,Healthcare,Food Safety,Emergency,Frustrated
"Calling regarding Water tank billing issue, I was overcharged for this month. We need urgent intervention.",Water Board,Billing Issue,Low,Negative
Kindly note Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. Kindly look into this immediately.,Water Board,Low Pressure,Medium,Neutral
Citizen alert: Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Please resolve ASAP.,Healthcare,Mosquito Hazard,High,Frustrated
"Sir/Madam, Drainage line choked and blocked with plastic waste causing backflow. Expecting quick response from authorities.",Sanitation,Sewage Overflow,High,Frustrated
Grievance report: Frequent voltage fluctuations damaging home electronics in Ward 9. Over 100 families affected in our locality.,Electricity Board,Voltage Fluctuation,High,Negative
Urgent complaint: Frequent voltage fluctuations damaging home electronics in Ward 9. Expecting quick response from authorities.,Electricity Board,Voltage Fluctuation,High,Negative
"Issue reported: Electrical short circuit fire in basement parking, smoke alarm ringing and people trapped. Over 100 families affected in our locality.",Fire & Rescue,Electrical Fire,Emergency,Frustrated
Vehicle stolen from apartment parking lot last night.,Police,Theft,High,Frustrated
"Sir/Madam, Volt-ampere drop is causing refrigerator to trip continuously. Please resolve ASAP.",Electricity Board,Voltage Fluctuation,Medium,Neutral
Grievance report: Food poisoning outbreak reported from unhygienic street vendor stall. Kindly look into this immediately.,Healthcare,Food Safety,Emergency,Frustrated
"Complaint registered from Ward 14: Aag lag gayi hai factory me, jaldi fire brigade aur rescue team bhejo. Kindly look into this immediately.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Complaint registered from Ward 14: Attempted burglary at locked house in B-Block, door lock tampered. We need urgent intervention.",Police,Theft,Emergency,Frustrated
"Kindly note Incorrect electricity bill generated, showing 10x normal consumption. Over 100 families affected in our locality.",Electricity Board,Meter Defect,Medium,Negative
"Sir/Madam, Bijli chali gayi hai 4 ghante se, transformer se dhuwa nikla hai. We need urgent intervention.",Electricity Board,Power Outage,Emergency,Frustrated
"Kachra nahi uthaya gaya 3 din se, severe smell in entire lane.",Sanitation,Garbage Pile,High,Frustrated
Sewage water mixing with rainwater and overflowing on main street.,Sanitation,Sewage Overflow,Emergency,Frustrated
Help needed: Contaminated yellow muddy water coming out of taps in Shastri Nagar. Kindly look into this immediately.,Water Board,Water Quality,High,Negative
Filing grievance for Birth certificate application pending for 45 days with no response from ward. Over 100 families affected in our locality.,Municipal Corporation,Certificate Delay,Medium,Negative
"Issue reported: Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein. Kindly look into this immediately.",Water Board,No Supply,High,Frustrated
Help needed: Smart meter showing faulty readings after heavy rainfall. Expecting quick response from authorities.,Electricity Board,Meter Defect,Medium,Negative
"Sir/Madam, Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein. Over 100 families affected in our locality.",Water Board,No Supply,High,Frustrated
Filing grievance for Bio-medical waste discarded openly behind clinic in residential zone. Expecting quick response from authorities.,Healthcare,Mosquito Hazard,Emergency,Frustrated
Attention ward officer: Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. Kindly look into this immediately.,Water Board,Low Pressure,Medium,Neutral
"Sir/Madam, Traffic signal violation causing near accidents daily at cross junction. We need urgent intervention.",Police,Traffic Violation,Medium,Negative
"Citizen alert: Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. We need urgent intervention.",Water Board,Pipe Damage,Medium,Negative
"Urgent complaint: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Over 100 families affected in our locality.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Calling regarding Open manhole on main street dangerous for pedestrians and children! We need urgent intervention.,Public Works,Open Manhole,Emergency,Frustrated
"Help needed: Attempted burglary at locked house in B-Block, door lock tampered. We need urgent intervention.",Police,Theft,Emergency,Frustrated
Citizen alert: Streetlight pole sparking continuously with loose wiring. Kindly look into this immediately.,Electricity Board,Dangling Wire,High,Frustrated
"Calling regarding Heavy smoke and flames coming from chemical warehouse, send fire engine immediately. Kindly look into this immediately.",Fire & Rescue,Building Fire,Emergency,Frustrated
Grievance report: Public toilet in market complex completely uncleaned and unusable. Expecting quick response from authorities.,Sanitation,Sanitation,Medium,Negative
"Grievance report: Road damaged and cracked after heavy rainfall, need urgent resurfacing. We need urgent intervention.",Public Works,Potholes,Medium,Negative
Complaint registered from Ward 14: Government hospital emergency room out of basic lifesaving medicines. Please resolve ASAP.,Healthcare,Hospital Supplies,Emergency,Frustrated
Calling regarding Drainage line choked and blocked with plastic waste causing backflow. Over 100 families affected in our locality.,Sanitation,Sewage Overflow,High,Frustrated
Calling regarding Chain snatching incident reported near central park 30 mins ago. Suspect ran away. Over 100 families affected in our locality.,Police,Theft,Emergency,Frustrated
Calling regarding Dead animal lying on public road needs immediate sanitary removal. Expecting quick response from authorities.,Sanitation,Sanitation,High,Frustrated
Citizen alert: Volt-ampere drop is causing refrigerator to trip continuously. Over 100 families affected in our locality.,Electricity Board,Voltage Fluctuation,Medium,Neutral
Complaint registered from Ward 14: Ambulance 108 helpline not answering call during medical emergency. Over 100 families affected in our locality.,Healthcare,Hospital Supplies,Emergency,Frustrated
Help needed: Electric wire hanging dangerous and low near primary school entrance. Expecting quick response from authorities.,Electricity Board,Dangling Wire,Emergency,Frustrated
Bio-medical waste discarded openly behind clinic in residential zone.,Healthcare,Mosquito Hazard,Emergency,Frustrated
Complaint registered from Ward 14: Traffic light malfunction at Busy Cross junction creating chaotic congestion. Over 100 families affected in our locality.,Transport,Traffic Signal,High,Negative
"Grievance report: Thee pidithullathu, urgent fire station rescue and fire engine required. Kindly look into this immediately.",Fire & Rescue,Building Fire,Emergency,Frustrated
Help needed: Volt-ampere drop is causing refrigerator to trip continuously. Please resolve ASAP.,Electricity Board,Voltage Fluctuation,Medium,Neutral
Grievance report: Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Over 100 families affected in our locality.,Healthcare,Mosquito Hazard,High,Frustrated
Filing grievance for Primary Health Centre doctor absent during official duty hours. Over 100 families affected in our locality.,Healthcare,Doctor Absence,High,Frustrated
Calling regarding Trade license renewal delayed despite submitting all documents. Over 100 families affected in our locality.,Municipal Corporation,Certificate Delay,Low,Neutral
"Help needed: Thee pidithullathu, urgent fire station rescue and fire engine required. We need urgent intervention.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Urgent complaint: Stray dog menace in colony, pack of dogs chasing children and two-wheelers. Expecting quick response from authorities.",Municipal Corporation,Stray Animals,High,Frustrated
Kindly note Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. Please resolve ASAP.,Water Board,Low Pressure,Medium,Neutral
Grievance report: Vehicle stolen from apartment parking lot last night. Please resolve ASAP.,Police,Theft,High,Frustrated
Kindly note Open manhole on main street dangerous for pedestrians and children! Please resolve ASAP.,Public Works,Open Manhole,Emergency,Frustrated
"Sir/Madam, Frequent voltage fluctuations damaging home electronics in Ward 9. Expecting quick response from authorities.",Electricity Board,Voltage Fluctuation,High,Negative
"Help needed: Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. Over 100 families affected in our locality.",Water Board,Pipe Damage,Medium,Negative
Urgent complaint: Chain snatching incident reported near central park 30 mins ago. Suspect ran away. Over 100 families affected in our locality.,Police,Theft,Emergency,Frustrated
"Smoke coming out of closed shop, smell of burning wire and gas leak.",Fire & Rescue,Electrical Fire,High,Frustrated
"Grievance report: Vehicle caught fire on main flyover, road blocked, fire brigade and rescue needed immediately. We need urgent intervention.",Fire & Rescue,Vehicle Fire,Emergency,Frustrated
Calling regarding Auto rickshaw drivers refusing by-meter fare and demanding double charges. Kindly look into this immediately.,Transport,Transit Grievance,Low,Negative
Attention ward officer: Illegal construction and encroachment on public park land. Over 100 families affected in our locality.,Municipal Corporation,Encroachment,High,Frustrated
"Citizen alert: Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. Expecting quick response from authorities.",Water Board,Pipe Damage,Medium,Negative
Help needed: Public toilet in market complex completely uncleaned and unusable. We need urgent intervention.,Sanitation,Sanitation,Medium,Negative
Attention ward officer: Traffic signal violation causing near accidents daily at cross junction. We need urgent intervention.,Police,Traffic Violation,Medium,Negative
"Attention ward officer: Electrical short circuit fire in basement parking, smoke alarm ringing and people trapped. We need urgent intervention.",Fire & Rescue,Electrical Fire,Emergency,Frustrated
Issue reported: Illegal parking blocking emergency ambulance entry route to building. Please resolve ASAP.,Police,Traffic Violation,High,Frustrated
Filing grievance for Bio-medical waste discarded openly behind clinic in residential zone. Please resolve ASAP.,Healthcare,Mosquito Hazard,Emergency,Frustrated
"Grievance report: Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. We need urgent intervention.",Water Board,Pipe Damage,Medium,Negative
Calling regarding Massive potholes on main road causing severe traffic jams and bike accidents. Please resolve ASAP.,Public Works,Potholes,High,Frustrated
Filing grievance for Massive potholes on main road causing severe traffic jams and bike accidents. Over 100 families affected in our locality.,Public Works,Potholes,High,Frustrated
"Sir/Madam, Fallen tree blocking colony inner road after gusty winds. Please resolve ASAP.",Municipal Corporation,Civic Amenities,High,Frustrated
Streetlight pole sparking continuously with loose wiring.,Electricity Board,Dangling Wire,High,Frustrated
"Attention ward officer: Vehicle caught fire on main flyover, road blocked, fire brigade and rescue needed immediately. Kindly look into this immediately.",Fire & Rescue,Vehicle Fire,Emergency,Frustrated
"Help needed: Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein. Kindly look into this immediately.",Water Board,No Supply,High,Frustrated
Kindly note Drunk persons creating public nuisance and harassing pedestrians at bus stop. Expecting quick response from authorities.,Police,Public Safety,High,Frustrated
"Sir/Madam, Fire broke out in commercial building near main market, urgent fire rescue needed! Kindly look into this immediately.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Help needed: Road damaged and cracked after heavy rainfall, need urgent resurfacing. Kindly look into this immediately.",Public Works,Potholes,Medium,Negative
Attention ward officer: Bridge expansion joint damaged and vibrating dangerously under traffic. Kindly look into this immediately.,Public Works,Bridge Defect,Emergency,Frustrated
"Citizen alert: Underpass flooded with 3 feet of water, road completely impassable. Expecting quick response from authorities.",Public Works,Potholes,High,Frustrated
Citizen alert: City bus route 45 consistently delayed by 1 hour daily during peak morning. Over 100 families affected in our locality.,Transport,Bus Delay,Medium,Negative
Help needed: Stormwater drain slab broken and collapsed into drain on 2nd Avenue. Kindly look into this immediately.,Public Works,Open Manhole,High,Frustrated
Urgent complaint: Drainage line choked and blocked with plastic waste causing backflow. Over 100 families affected in our locality.,Sanitation,Sewage Overflow,High,Frustrated
"Complaint registered from Ward 14: Bijli chali gayi hai 4 ghante se, transformer se dhuwa nikla hai. Over 100 families affected in our locality.",Electricity Board,Power Outage,Emergency,Frustrated
Issue reported: Bridge expansion joint damaged and vibrating dangerously under traffic. Expecting quick response from authorities.,Public Works,Bridge Defect,Emergency,Frustrated
"Filing grievance for Drinking water line damaged during digging, water supply completely cut off. Please resolve ASAP.",Water Board,No Supply,High,Frustrated
Help needed: Auto rickshaw drivers refusing by-meter fare and demanding double charges. Over 100 families affected in our locality.,Transport,Transit Grievance,Low,Negative
Complaint registered from Ward 14: Illegal parking blocking emergency ambulance entry route to building. Kindly look into this immediately.,Police,Traffic Violation,High,Frustrated
"Filing grievance for Incorrect electricity bill generated, showing 10x normal consumption. Kindly look into this immediately.",Electricity Board,Meter Defect,Medium,Negative
"Fire emergency at local textile godown, blaze spreading rapidly to adjoining houses.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Grievance report: Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. We need urgent intervention.",Water Board,Pipe Damage,Medium,Negative
Filing grievance for Traffic light malfunction at Busy Cross junction creating chaotic congestion. Expecting quick response from authorities.,Transport,Traffic Signal,High,Negative
Help needed: Chain snatching incident reported near central park 30 mins ago. Suspect ran away. Kindly look into this immediately.,Police,Theft,Emergency,Frustrated
Citizen alert: Dead animal lying on public road needs immediate sanitary removal. Please resolve ASAP.,Sanitation,Sanitation,High,Frustrated
"Urgent complaint: Underpass flooded with 3 feet of water, road completely impassable. Kindly look into this immediately.",Public Works,Potholes,High,Frustrated
"Attention ward officer: Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. Please resolve ASAP.",Water Board,Pipe Damage,Medium,Negative
"Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
"Attention ward officer: Road damaged and cracked after heavy rainfall, need urgent resurfacing. Expecting quick response from authorities.",Public Works,Potholes,Medium,Negative
"Sir/Madam, Massive potholes on main road causing severe traffic jams and bike accidents. Expecting quick response from authorities.",Public Works,Potholes,High,Frustrated
"Calling regarding Aag lag gayi hai factory me, jaldi fire brigade aur rescue team bhejo. Over 100 families affected in our locality.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Filing grievance for Aag lag gayi hai factory me, jaldi fire brigade aur rescue team bhejo. We need urgent intervention.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Help needed: Fire broke out in commercial building near main market, urgent fire rescue needed! Over 100 families affected in our locality.",Fire & Rescue,Building Fire,Emergency,Frustrated
Calling regarding Streetlight pole sparking continuously with loose wiring. Over 100 families affected in our locality.,Electricity Board,Dangling Wire,High,Frustrated
Grievance report: Government hospital emergency room out of basic lifesaving medicines. We need urgent intervention.,Healthcare,Hospital Supplies,Emergency,Frustrated
"Sir/Madam, Dead animal lying on public road needs immediate sanitary removal. Kindly look into this immediately.",Sanitation,Sanitation,High,Frustrated
Urgent complaint: Bus driver driving rashly and skipped scheduled stops on Route 23. Expecting quick response from authorities.,Transport,Bus Delay,Medium,Negative
Grievance report: Chain snatching incident reported near central park 30 mins ago. Suspect ran away. Over 100 families affected in our locality.,Police,Theft,Emergency,Frustrated
Filing grievance for Loud speakers playing beyond midnight illegally near residential area. Kindly look into this immediately.,Police,Noise Complaint,Medium,Frustrated
Issue reported: Bio-medical waste discarded openly behind clinic in residential zone. Over 100 families affected in our locality.,Healthcare,Mosquito Hazard,Emergency,Frustrated
"Help needed: Bijli chali gayi hai 4 ghante se, transformer se dhuwa nikla hai. Please resolve ASAP.",Electricity Board,Power Outage,Emergency,Frustrated
"Sir/Madam, Trade license renewal delayed despite submitting all documents. Over 100 families affected in our locality.",Municipal Corporation,Certificate Delay,Low,Neutral
"Urgent complaint: Fire broke out in commercial building near main market, urgent fire rescue needed! Please resolve ASAP.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Complaint registered from Ward 14: Kachra nahi uthaya gaya 3 din se, severe smell in entire lane. Expecting quick response from authorities.",Sanitation,Garbage Pile,High,Frustrated
Grievance report: Sewage water mixing with rainwater and overflowing on main street. Expecting quick response from authorities.,Sanitation,Sewage Overflow,Emergency,Frustrated
"Kindly note Stray dog menace in colony, pack of dogs chasing children and two-wheelers. We need urgent intervention.",Municipal Corporation,Stray Animals,High,Frustrated
Help needed: Traffic light malfunction at Busy Cross junction creating chaotic congestion. Please resolve ASAP.,Transport,Traffic Signal,High,Negative
"Help needed: Thee pidithullathu, urgent fire station rescue and fire engine required. We need urgent intervention.",Fire & Rescue,Building Fire,Emergency,Frustrated
Calling regarding Fire in garbage dump yard emitting toxic black smoke and spreading to nearby shops. Please resolve ASAP.,Fire & Rescue,Garbage Fire,High,Frustrated
Grievance report: Fallen tree blocking colony inner road after gusty winds. Expecting quick response from authorities.,Municipal Corporation,Civic Amenities,High,Frustrated
"Kindly note Fire broke out in commercial building near main market, urgent fire rescue needed! Expecting quick response from authorities.",Fire & Rescue,Building Fire,Emergency,Frustrated
Filing grievance for Public toilet in market complex completely uncleaned and unusable. Over 100 families affected in our locality.,Sanitation,Sanitation,Medium,Negative
Food poisoning outbreak reported from unhygienic street vendor stall.,Healthcare,Food Safety,Emergency,Frustrated
"Citizen alert: Smoke coming out of closed shop, smell of burning wire and gas leak. Kindly look into this immediately.",Fire & Rescue,Electrical Fire,High,Frustrated
"Issue reported: Kachra nahi uthaya gaya 3 din se, severe smell in entire lane. We need urgent intervention.",Sanitation,Garbage Pile,High,Frustrated
"Issue reported: Road damaged and cracked after heavy rainfall, need urgent resurfacing. Over 100 families affected in our locality.",Public Works,Potholes,Medium,Negative
Calling regarding Thank you water department for repairing the broken pipe quickly today. Please resolve ASAP.,Water Board,Pipe Damage,Low,Positive
"Complaint registered from Ward 14: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Over 100 families affected in our locality.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Citizen alert: Frequent voltage fluctuations damaging home electronics in Ward 9. Expecting quick response from authorities.,Electricity Board,Voltage Fluctuation,High,Negative
"Grievance report: Stray dog menace in colony, pack of dogs chasing children and two-wheelers. Over 100 families affected in our locality.",Municipal Corporation,Stray Animals,High,Frustrated
Filing grievance for Open manhole on main street dangerous for pedestrians and children! Over 100 families affected in our locality.,Public Works,Open Manhole,Emergency,Frustrated
Auto rickshaw drivers refusing by-meter fare and demanding double charges.,Transport,Transit Grievance,Low,Negative
Attention ward officer: Trade license renewal delayed despite submitting all documents. Kindly look into this immediately.,Municipal Corporation,Certificate Delay,Low,Neutral
Calling regarding Property tax portal showing wrong calculation and pending dues. We need urgent intervention.,Municipal Corporation,Property Tax,Low,Negative
Help needed: Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. Expecting quick response from authorities.,Water Board,Low Pressure,Medium,Neutral
"Sir/Madam, Sewage water mixing with rainwater and overflowing on main street. Please resolve ASAP.",Sanitation,Sewage Overflow,Emergency,Frustrated
Help needed: Fallen tree blocking colony inner road after gusty winds. Expecting quick response from authorities.,Municipal Corporation,Civic Amenities,High,Frustrated
Attention ward officer: Drainage line choked and blocked with plastic waste causing backflow. Expecting quick response from authorities.,Sanitation,Sewage Overflow,High,Frustrated
Filing grievance for Vehicle stolen from apartment parking lot last night. Please resolve ASAP.,Police,Theft,High,Frustrated
Issue reported: Garbage collection vehicle not coming for last 4 days in Block D. Over 100 families affected in our locality.,Sanitation,Garbage Pile,High,Frustrated
Urgent complaint: Illegal parking blocking emergency ambulance entry route to building. Kindly look into this immediately.,Police,Traffic Violation,High,Frustrated
"Filing grievance for Stray dog menace in colony, pack of dogs chasing children and two-wheelers. Over 100 families affected in our locality.",Municipal Corporation,Stray Animals,High,Frustrated
Urgent complaint: Water tanker driver is asking for extra money illegally in Ward 5. We need urgent intervention.,Water Board,Billing Issue,High,Frustrated
"Help needed: Water tank billing issue, I was overcharged for this month. Kindly look into this immediately.",Water Board,Billing Issue,Low,Negative
"Calling regarding Thee pidithullathu, urgent fire station rescue and fire engine required. We need urgent intervention.",Fire & Rescue,Building Fire,Emergency,Frustrated
Attention ward officer: Traffic light malfunction at Busy Cross junction creating chaotic congestion. Expecting quick response from authorities.,Transport,Traffic Signal,High,Negative
Grievance report: Open manhole on main street dangerous for pedestrians and children! Expecting quick response from authorities.,Public Works,Open Manhole,Emergency,Frustrated
Urgent complaint: Drunk persons creating public nuisance and harassing pedestrians at bus stop. Expecting quick response from authorities.,Police,Public Safety,High,Frustrated
Calling regarding Contaminated yellow muddy water coming out of taps in Shastri Nagar. Kindly look into this immediately.,Water Board,Water Quality,High,Negative
Kindly note Traffic light malfunction at Busy Cross junction creating chaotic congestion. Over 100 families affected in our locality.,Transport,Traffic Signal,High,Negative
"Calling regarding Vehicle caught fire on main flyover, road blocked, fire brigade and rescue needed immediately. Please resolve ASAP.",Fire & Rescue,Vehicle Fire,Emergency,Frustrated
Chain snatching incident reported near central park 30 mins ago. Suspect ran away.,Police,Theft,Emergency,Frustrated
Citizen alert: Trade license renewal delayed despite submitting all documents. Expecting quick response from authorities.,Municipal Corporation,Certificate Delay,Low,Neutral
Grievance report: Property tax portal showing wrong calculation and pending dues. Expecting quick response from authorities.,Municipal Corporation,Property Tax,Low,Negative
Calling regarding Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. We need urgent intervention.,Water Board,Low Pressure,Medium,Neutral
Citizen alert: Fallen tree blocking colony inner road after gusty winds. Please resolve ASAP.,Municipal Corporation,Civic Amenities,High,Frustrated
Citizen alert: Bus shelter collapsed and broken glass scattered around waiting area. Over 100 families affected in our locality.,Transport,Transit Grievance,Medium,Negative
